,Unnamed: 0,School Name,Applicants,Admitted,Enrolled,Acceptance Rate,Admission Yield,State
6,,"Christian Brothers University  Memphis, TN",2810,1574,394,56.01%,25.03%,TN
7,,"Concorde Career College-Memphis  Memphis, TN",1103,1026,380,93.02%,37.04%,TN
8,,"Cumberland University  Lebanon, TN",2308,1431,601,62.00%,42.00%,TN
9,,"DeVry University-Tennessee  Nashville, TN",3,3,2,100.00%,66.67%,TN
10,,"East Tennessee State University  Johnson City, TN",8009,6968,1951,87.00%,28.00%,TN
11,,"Fisk University  Nashville, TN",1894,1345,296,71.01%,22.01%,TN
12,,"Freed-Hardeman University  Henderson, TN",863,803,305,93.05%,37.98%,TN
13,,"Hiwassee College  Madisonville, TN",340,228,66,67.06%,28.95%,TN
14,,"John A Gupton College  Nashville, TN",43,30,18,69.77%,60.00%,TN
15,,"Johnson University  Knoxville, TN",348,247,161,70.98%,65.18%,TN
16,,"King University  Bristol, TN",1046,607,188,58.03%,30.97%,TN
17,,"Le Moyne-Owen College  Memphis, TN",419,390,156,93.08%,40.00%,TN
18,,"Lee University  Cleveland, TN",2443,2174,870,88.99%,40.02%,TN
19,,"Lincoln Memorial University  Harrogate, TN",1961,1177,306,60.02%,26.00%,TN
20,,"Lipscomb University  Nashville, TN",3638,2183,677,60.01%,31.01%,TN
21,,"Martin Methodist College  Pulaski, TN",772,772,270,100.00%,34.97%,TN
22,,"Maryville College  Maryville, TN",2346,1290,284,54.99%,22.02%,TN
23,,"Mid-South Christian College  Memphis, TN",8,8,6,100.00%,75.00%,TN
24,,"Middle Tennessee State University  Murfreesboro, TN",8055,7572,2877,94.00%,38.00%,TN
25,,"Milligan College  Milligan College, TN",482,400,156,82.99%,39.00%,TN
26,,"Nossi College of Art  Madison, TN",590,289,124,48.98%,42.91%,TN
27,,"Rhodes College  Memphis, TN",5093,2292,550,45.00%,24.00%,TN
28,,"Sewanee-The University of the South  Sewanee, TN",3465,2252,473,64.99%,21.00%,TN
29,,"Tennessee Technological University  Cookeville, TN",6913,5254,1891,76.00%,35.99%,TN
30,,"Tennessee Wesleyan University  Athens, TN",756,454,191,60.05%,42.07%,TN
31,,"The University of Tennessee-Chattanooga  Chattanooga, TN",8854,6729,2288,76.00%,34.00%,TN
32,,"The University of Tennessee-Knoxville  Knoxville, TN",20457,15956,5265,78.00%,33.00%,TN
33,,"The University of Tennessee-Martin  Martin, TN",8047,5552,1166,68.99%,21.00%,TN
34,,"Trevecca Nazarene University  Nashville, TN",1671,1069,385,63.97%,36.01%,TN
35,,"Tusculum College  Greeneville, TN",2014,1329,279,65.99%,20.99%,TN
36,,"Union University  Jackson, TN",2663,1518,380,57.00%,25.03%,TN
37,,"University of Memphis  Memphis, TN",14141,11878,2494,84.00%,21.00%,TN
38,,"Vanderbilt University  Nashville, TN",34313,3431,1681,10.00%,48.99%,TN
39,,"Visible Music College  Memphis, TN",59,59,38,100.00%,64.41%,TN
40,,"Watkins College of Art Design & Film  Nashville, TN",152,106,29,69.74%,27.36%,TN
41,,Average,4171,2606,780,62.48%,29.93%,TN
0,,"Abilene Christian University  Abilene, TX",11569,6594,923,57.00%,14.00%,TX
1,,"Angelo State University  San Angelo, TX",4200,3066,1533,73.00%,50.00%,TX
2,,"Austin College  Sherman, TX",3832,2108,443,55.01%,21.02%,TX
3,,"Baptist Missionary Association Theological Seminary  Jacksonville, TX",4,3,3,75.00%,100.00%,TX
4,,"Baylor University  Waco, TX",37083,14462,3326,39.00%,23.00%,TX
5,,"Chamberlain University-Texas  Houston, TX",26,6,6,23.08%,100.00%,TX
6,,"Concorde Career College-Dallas  Dallas, TX",459,358,150,78.00%,41.90%,TX
7,,"Concorde Career College-Grand Prairie  Grand Prairie, TX",600,582,256,97.00%,43.99%,TX
8,,"Concorde Career College-San Antonio  San Antonio, TX",544,500,150,91.91%,30.00%,TX
9,,"Concordia University-Texas  Lakeway, TX",1388,1263,215,90.99%,17.02%,TX
10,,"Criswell College  Dallas, TX",17,17,13,100.00%,76.47%,TX
11,,"Dallas Baptist University  Dallas, TX",2757,2426,558,87.99%,23.00%,TX
12,,"Dallas Christian College  Dallas, TX",460,133,49,28.91%,36.84%,TX
13,,"Dallas Nursing Institute  Dallas, TX",796,40,37,5.03%,92.50%,TX
14,,"DeVry University-Texas  Irving, TX",16,15,10,93.75%,66.67%,TX
15,,"East Texas Baptist University  Marshall, TX",1850,999,400,54.00%,40.04%,TX
16,,"Gemini School of Visual Arts & Communication  Cedar Park, TX",3,3,2,100.00%,66.67%,TX
17,,"Hallmark University  San Antonio, TX",194,101,81,52.06%,80.20%,TX
18,,"Hardin-Simmons University  Abilene, TX",1766,1483,489,83.98%,32.97%,TX
19,,"Houston Baptist University  Houston, TX",7051,4936,543,70.00%,11.00%,TX
20,,"Howard Payne University  Brownwood, TX",1576,914,265,57.99%,28.99%,TX
21,,"Huston-Tillotson University  Austin, TX",3156,1483,222,46.99%,14.97%,TX
22,,"KD Conservatory College of Film and Dramatic Arts  Dallas, TX",55,38,26,69.09%,68.42%,TX
23,,"Lamar University  Beaumont, TX",5486,4608,1475,84.00%,32.01%,TX
24,,"LeTourneau University  Longview, TX",1922,884,345,45.99%,39.03%,TX
25,,"Lubbock Christian University  Lubbock, TX",696,626,294,89.94%,46.96%,TX
26,,"McMurry University  Abilene, TX",1826,749,217,41.02%,28.97%,TX
27,,"Messenger College  Euless, TX",44,12,8,27.27%,66.67%,TX
28,,"Midwestern State University  Wichita Falls, TX",3630,2577,902,70.99%,35.00%,TX
29,,"Our Lady of the Lake University  San Antonio, TX",4373,4067,366,93.00%,9.00%,TX
30,,"Paul Quinn College  Dallas, TX",696,626,125,89.94%,19.97%,TX
31,,"Prairie View A & M University  Prairie View, TX",7158,5297,2172,74.00%,41.00%,TX
32,,"Rice University  Houston, TX",20923,2302,944,11.00%,41.01%,TX
33,,"Saint Edward's University  Austin, TX",5577,4796,815,86.00%,16.99%,TX
34,,"Sam Houston State University  Huntsville, TX",11819,9337,2894,79.00%,30.99%,TX
35,,"School of Automotive Machinists & Technology  Houston, TX",26,25,21,96.15%,84.00%,TX
36,,"Schreiner University  Kerrville, TX",1184,1077,355,90.96%,32.96%,TX
37,,"Southern Methodist University  Dallas, TX",12603,6428,1543,51.00%,24.00%,TX
38,,"Southwestern Adventist University  Keene, TX",1576,867,130,55.01%,14.99%,TX
