,Unnamed: 0,School Name,Applicants,Admitted,Enrolled,Acceptance Rate,Admission Yield,State
48,,"Virginia Union University  Richmond, VA",6397,2815,197,44.01%,7.00%,VA
49,,"Virginia Wesleyan University  Virginia Beach, VA",2656,1859,353,69.99%,18.99%,VA
50,,"Washington and Lee University  Lexington, VA",5855,1230,467,21.01%,37.97%,VA
51,,Average,6688,4137,1000,61.86%,24.17%,VA
0,,"Academy of Interactive Entertainment  Seattle, WA",85,75,51,88.24%,68.00%,WA
1,,"Carrington College-Spokane  Spokane, WA",87,76,57,87.36%,75.00%,WA
2,,"Central Washington University  Ellensburg, WA",10148,7915,2216,78.00%,28.00%,WA
3,,"Charter College  Vancouver, WA",638,638,600,100.00%,94.04%,WA
4,,"Cornish College of the Arts  Seattle, WA",883,680,231,77.01%,33.97%,WA
5,,"DigiPen Institute of Technology  Redmond, WA",669,381,213,56.95%,55.91%,WA
6,,"Eastern Washington University  Cheney, WA",8374,5276,1794,63.00%,34.00%,WA
7,,"Fosbre Academy of Hair Design  Olympia, WA",150,140,95,93.33%,67.86%,WA
8,,"Gonzaga University  Spokane, WA",8402,5545,1220,66.00%,22.00%,WA
9,,"Northwest HVAC/R Training Center  Spokane, WA",68,60,41,88.24%,68.33%,WA
10,,"Northwest University  Kirkland, WA",501,476,248,95.01%,52.10%,WA
11,,"Pacific Lutheran University  Tacoma, WA",3740,2992,658,80.00%,21.99%,WA
12,,"Paroba College of Cosmetology  Everett, WA",70,61,34,87.14%,55.74%,WA
13,,"Saint Martin's University  Lacey, WA",1122,1077,237,95.99%,22.01%,WA
14,,"Seattle Pacific University  Seattle, WA",4172,3755,713,90.00%,18.99%,WA
15,,"Seattle University  Seattle, WA",8640,6566,1116,76.00%,17.00%,WA
16,,"The Evergreen State College  Olympia, WA",1194,1134,306,94.97%,26.98%,WA
17,,"University of Puget Sound  Tacoma, WA",5730,5042,655,87.99%,12.99%,WA
18,,"University of Washington-Bothell Campus  Bothell, WA",3022,2387,788,78.99%,33.01%,WA
19,,"University of Washington-Seattle Campus  Seattle, WA",45907,22494,7198,49.00%,32.00%,WA
20,,"University of Washington-Tacoma Campus  Tacoma, WA",2036,1751,648,86.00%,37.01%,WA
21,,"Walla Walla University  College Place, WA",2220,1132,408,50.99%,36.04%,WA
22,,"Washington State University  Pullman, WA",22773,17535,5085,77.00%,29.00%,WA
23,,"Western Washington University  Bellingham, WA",11124,9789,3132,88.00%,32.00%,WA
24,,"Whitman College  Walla Walla, WA",5226,2613,418,50.00%,16.00%,WA
25,,"Whitworth University  Spokane, WA",3731,3395,713,90.99%,21.00%,WA
26,,"Whitworth University-Adult Degree Programs  Spokane, WA",2,2,2,100.00%,100.00%,WA
27,,Average,5582,3814,1070,68.33%,28.04%,WA
0,,"Alderson Broaddus University  Philippi, WV",3988,1715,257,43.00%,14.99%,WV
1,,"Appalachian Bible College  Mount Hope, WV",126,57,38,45.24%,66.67%,WV
2,,"B M Spurr School of Practical Nursing  Glen Dale, WV",23,7,6,30.43%,85.71%,WV
3,,"Bethany College  Bethany, WV",1094,996,179,91.04%,17.97%,WV
4,,"Bluefield State College  Bluefield, WV",604,574,184,95.03%,32.06%,WV
5,,"Concord University  Athens, WV",1670,1486,431,88.98%,29.00%,WV
6,,"Davis & Elkins College  Elkins, WV",2495,923,194,36.99%,21.02%,WV
7,,"Fairmont State University  Fairmont, WV",2409,2289,847,95.02%,37.00%,WV
8,,"Marshall University  Huntington, WV",4987,4538,1679,91.00%,37.00%,WV
9,,"Martinsburg College  Martinsburg, WV",356,356,210,100.00%,58.99%,WV
10,,"Monongalia County Technical Education Center  Morgantown, WV",36,28,22,77.78%,78.57%,WV
11,,"Ohio Valley University  Vienna, WV",610,207,79,33.93%,38.16%,WV
12,,"Shepherd University  Shepherdstown, WV",1565,1393,585,89.01%,42.00%,WV
13,,"United Technical Center  Clarksburg, WV",27,13,9,48.15%,69.23%,WV
14,,"University of Charleston  Charleston, WV",2283,1142,297,50.02%,26.01%,WV
15,,"West Liberty University  West Liberty, WV",1857,1281,461,68.98%,35.99%,WV
16,,"West Virginia State University  Institute, WV",1924,1809,326,94.02%,18.02%,WV
17,,"West Virginia University  Morgantown, WV",18639,15284,4738,82.00%,31.00%,WV
18,,"West Virginia University Institute of Technology  Beckley, WV",1517,925,370,60.98%,40.00%,WV
19,,"West Virginia Wesleyan College  Buckhannon, WV",2159,1511,317,69.99%,20.98%,WV
20,,"Wheeling Jesuit University  Wheeling, WV",1640,1410,296,85.98%,20.99%,WV
21,,"Wood County School of Practical Nursing  Parkersburg, WV",2,2,2,100.00%,100.00%,WV
22,,Average,2273,1725,524,75.88%,30.38%,WV
0,,"Alverno College  Milwaukee, WI",728,510,189,70.05%,37.06%,WI
1,,"Bellin College  Green Bay, WI",59,52,47,88.14%,90.38%,WI
2,,"Beloit College  Beloit, WI",4200,2352,259,56.00%,11.01%,WI
3,,"Cardinal Stritch University  Milwaukee, WI",943,670,154,71.05%,22.99%,WI
4,,"Carroll University  Waukesha, WI",3769,2601,728,69.01%,27.99%,WI
5,,"Carthage College  Kenosha, WI",8109,5514,772,68.00%,14.00%,WI
6,,"Concordia University-Wisconsin  Mequon, WI",3380,2197,593,65.00%,26.99%,WI
7,,"Edgewood College  Madison, WI",1560,1139,251,73.01%,22.04%,WI
8,,"Herzing University-Brookfield  Brookfield, WI",96,95,56,98.96%,58.95%,WI
9,,"Herzing University-Kenosha  Kenosha, WI",39,34,25,87.18%,73.53%,WI
10,,"Herzing University-Madison  Madison, WI",271,271,122,100.00%,45.02%,WI
11,,"Lakeland University  Plymouth, WI",1541,801,224,51.98%,27.97%,WI
12,,"Lawrence University  Appleton, WI",3502,2171,391,61.99%,18.01%,WI
13,,"Maranatha Baptist University  Watertown, WI",250,228,153,91.20%,67.11%,WI
14,,"Marian University  Fond Du Lac, WI",1962,1275,319,64.98%,25.02%,WI
15,,"Marquette University  Milwaukee, WI",15574,12771,2171,82.00%,17.00%,WI
16,,"Milwaukee Career College  Milwaukee, WI",76,61,35,80.26%,57.38%,WI
17,,"Milwaukee Institute of Art & Design  Milwaukee, WI",992,635,235,64.01%,37.01%,WI
18,,"Milwaukee School of Engineering  Milwaukee, WI",3294,2075,602,62.99%,29.01%,WI
19,,"Mount Mary University  Milwaukee, WI",739,458,147,61.98%,32.10%,WI
20,,"Northland College  Ashland, WI",2506,1278,141,51.00%,11.03%,WI
21,,"Ripon College  Ripon, WI",2619,1807,271,69.00%,15.00%,WI
22,,"Saint Norbert College  De Pere, WI",4118,3212,610,78.00%,18.99%,WI
23,,"Shepherds College  Union Grove, WI",45,43,36,95.56%,83.72%,WI
24,,"Silver Lake College of the Holy Family  Manitowoc, WI",754,377,53,50.00%,14.06%,WI
25,,"University of Wisconsin Colleges Flex  Madison, WI",9,4,2,44.44%,50.00%,WI
26,,"University of Wisconsin-Eau Claire  Eau Claire, WI",6734,5253,2469,78.01%,47.00%,WI
27,,"University of Wisconsin-Green Bay  Green Bay, WI",3222,2545,1349,78.99%,53.01%,WI
28,,"University of Wisconsin-La Crosse  La Crosse, WI",6855,4867,2190,71.00%,45.00%,WI
29,,"University of Wisconsin-Madison  Madison, WI",42727,22218,6888,52.00%,31.00%,WI
30,,"University of Wisconsin-Milwaukee  Milwaukee, WI",11879,8790,4043,74.00%,46.00%,WI
31,,"University of Wisconsin-Oshkosh  Oshkosh, WI",7635,5421,2439,71.00%,44.99%,WI
32,,"University of Wisconsin-Parkside  Kenosha, WI",2150,1441,648,67.02%,44.97%,WI
33,,"University of Wisconsin-Platteville  Platteville, WI",3872,3175,1683,82.00%,53.01%,WI
34,,"University of Wisconsin-River Falls  River Falls, WI",3209,2407,1324,75.01%,55.01%,WI
35,,"University of Wisconsin-Stevens Point  Stevens Point, WI",4493,3729,1790,83.00%,48.00%,WI
36,,"University of Wisconsin-Stout  Menomonie, WI",2873,2586,1396,90.01%,53.98%,WI
37,,"University of Wisconsin-Superior  Superior, WI",1165,909,327,78.03%,35.97%,WI
38,,"University of Wisconsin-Whitewater  Whitewater, WI",6386,4853,2184,75.99%,45.00%,WI
39,,"Viterbo University  La Crosse, WI",1372,1043,292,76.02%,28.00%,WI
40,,"Wisconsin Lutheran College  Milwaukee, WI",969,775,287,79.98%,37.03%,WI
41,,Average,4065,2747,924,67.58%,33.64%,WI
0,,"University of Wyoming  Laramie, WY",5293,5081,1880,95.99%,37.00%,WY
1,,Average,5293,5081,1880,95.99%,37.00%,WY
